k_N250,kprob_N250
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,3.240000000000000102e-01
5.000000000000000000e+00,2.119999999999999940e-01
6.000000000000000000e+00,9.199999999999999845e-02
7.000000000000000000e+00,7.199999999999999456e-02
8.000000000000000000e+00,4.399999999999999745e-02
9.000000000000000000e+00,5.199999999999999761e-02
1.000000000000000000e+01,3.200000000000000067e-02
1.100000000000000000e+01,2.800000000000000058e-02
1.200000000000000000e+01,1.200000000000000025e-02
1.300000000000000000e+01,2.000000000000000042e-02
1.400000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.200000000000000025e-02
1.600000000000000000e+01,2.000000000000000042e-02
1.700000000000000000e+01,8.000000000000000167e-03
1.800000000000000000e+01,4.000000000000000083e-03
1.900000000000000000e+01,4.000000000000000083e-03
2.000000000000000000e+01,4.000000000000000083e-03
2.100000000000000000e+01,4.000000000000000083e-03
2.200000000000000000e+01,4.000000000000000083e-03
2.300000000000000000e+01,8.000000000000000167e-03
2.400000000000000000e+01,4.000000000000000083e-03
2.500000000000000000e+01,4.000000000000000083e-03
2.600000000000000000e+01,4.000000000000000083e-03
2.700000000000000000e+01,4.000000000000000083e-03
2.800000000000000000e+01,8.000000000000000167e-03
2.900000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,4.000000000000000083e-03
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,4.000000000000000083e-03
3.700000000000000000e+01,4.000000000000000083e-03
3.800000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,4.000000000000000083e-03
4.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,0.000000000000000000e+00
4.200000000000000000e+01,0.000000000000000000e+00
4.300000000000000000e+01,0.000000000000000000e+00
4.400000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,4.000000000000000083e-03
N = 250
